   age      spacing  sibs    time   status
  21.9       424      4      1826      1
  22.8       570      4      1502      0
  22.1      1002      4      1988      1
  21.2       797      4       652      1
  22.4      1003      2      1868      0
  20.4      1578      4      1589      0
  26.9      1029      4       142      0
  24.8      1060      3       707      0
  26.7       528      4       316      0
  26.1       617      4       825      0
  24.1      1086      3       905      1
  26.0      1121      2       141      0
  22.8       582      4      1584      0
  24.4       842      4      1360      0
  27.1       848      4       143      0
  21.8      1347      2       250      0
  26.0       896      1       263      0
  27.2       649      1        36      0
  22.5       555      2      2133      0
  24.6      1327      1       310      0
  25.5       825      1       893      0
  26.9       416      1       792      0
  20.8       435      2      2821      0
  25.6      1358      1       221      0
  25.4      1854      4         8      0
  25.2      1645      3       329      0
  24.1       934      1       277      0
  21.9       920      1      1186      0
  25.0      1437      3        78      0
  22.5      2060      1       756      0
  23.8      1065      1       142      0
  22.7      1054      1       620      0
  26.6       608      1       365      0
  21.4      1765      2       487      0
  20.4      1267      4      2084      0
  24.1       897      2      1287      0
  23.4       859      2       736      1
  20.8       775      2      2727      0
  19.5      1585      4       925      0
  21.9       713      2      2432      0
  20.0       706      3       793      1
  26.4       526      3       469      0
  24.7      1723      3        99      0
  26.3       608      2       808      0
  26.0       726      1       930      0
  19.3      1688      1      1671      0
  25.0      1133      2       530      0
  27.7       777      1       253      0
  22.4       820      1      1267      1
  20.7      1311      4      2219      0
  22.1      1858      3       980      0
  27.4       727      3       346      0
  23.9      1100      4       482      0
  20.9      1725      4       951      1
  28.1       820      3        32      0
  24.0       782      3      1434      0
  23.6       963      1      1343      0
  22.7      1669      2       611      0
  20.8      2573      3       228      0
  20.7      1300      1      1501      0
  24.4       633      4      1582      0
  27.5       682      1       388      0
  22.0       628      3      2301      0
  26.4       478      2       523      1
  21.0       557      1      2733      0
  24.1      1328      2       857      0
  23.6       719      4      1701      0
  23.1       505      4      2248      0
  26.7      1053      3       366      0
  28.6       433      1       248      0
  22.4       790      3      1189      1
  20.9      1661      4       701      1
  20.9      1253      3      1798      1
  23.4      1007      4       596      1
  19.7      1032      4      2859      0
  22.4      1047      1      1199      0
  26.0       628      4       347      0
  23.8       539      3       527      1
  25.9       926      4       546      0
  24.4      1041      1       769      0
  22.0       685      1      2288      0
  23.5       624      1      1665      0
  25.0      1095      3       954      0
  22.4       567      3       836      1
  26.2      1033      4        28      0
  24.0      1321      1       961      0
  25.4       554      1      1110      1
  23.1       938      4      1474      0
  26.6      1201      3       113      0
  23.9       352      3      1298      1
  25.5      1331      4       522      0
  20.0      1331      2      2337      0
  25.3       789      2       395      0
  23.0      1310      1      1339      0
  24.8       965      4       196      0
  21.7       595      1      1004      0
  25.7      1103      1       599      0
  22.0       711      2       723      0
  19.0       960      2      3050      0
  24.7       890      4      1192      0
  26.0      1286      1       183      0
  26.3      1017      4       174      0
  25.2       650      3       556      0
  21.9      1725      1      1420      0
  23.6      1096      4       598      0
  20.5      1604      4      1786      0
  20.3      1470      3      2210      0
  23.5       715      1      1556      1
  23.8      1106      2      1173      0
  20.8      1291      4      1828      0
  25.3       918      1       487      0
  20.7      1467      2      1460      0
  26.9       996      2        61      0
  20.7       501      1      1521      1
  22.8      1692      2       969      0
  24.3       917      1       353      0
  25.7      1095      3       647      0
  23.1      1946      4       689      0
  20.2       667      2       878      1
  26.6       753      3       233      0
  21.0      2786      2       569      0
  27.5       690      1       434      0
  21.7      1624      3       676      1
  25.4      1119      3       513      0
  25.1       733      4      1125      0
  26.6      1002      1       222      0
  27.2       946      4       153      0
  24.7       919      4       360      0
  20.3       760      3      2816      0
  22.1       679      3      1528      0
  22.5      1164      3       978      0
  25.1       870      4       936      0
  28.7       651      3        43      0
  22.7       999      4      1863      0
  22.6      1323      3       175      0
  26.4       668      4       794      0
  23.9       697      3       640      0
  22.0       824      2      2248      0
  18.3      1228      3      1132      1
  22.4      1157      4       475      1
  20.1      1047      1      1290      1
  24.9      1067      2       820      0
  26.5       931      3       555      0
  25.6       890      2       775      0
  24.7      1134      1       903      0
  23.1       707      3      1681      0
  24.2       895      1       576      0
  21.5      1287      2      1767      0
  24.6       489      3       252      0
  26.4      1446      2        62      0
  20.7       998      3      1260      1
  23.3      1334      3      1031      0
  25.0       962      3       452      0
  26.5      1195      2       206      0
  25.8      1369      3       325      0
  24.1      1184      1       716      0
  25.5       706      1       706      0
  24.5      1661      2       527      0
  23.8       386      1      2046      0
  20.0      1735      2      1945      0
  27.2       662      4       136      0
  25.0      1183      3        18      0
  26.3      1062      3       402      0
  24.9      1409      4       528      0
  24.2      1239      4       643      0
  22.3      1152      3      1206      0
  24.4      1156      2       893      0
  23.0       869      2       674      0
  23.4      1480      1      1107      0
  19.9      1046      4      2315      0
  25.8      1044      4       130      0
  25.4       591      4       625      1
  23.0      1836      4       713      0
  22.7      1296      1      1024      0
  22.6      2041      3       751      0
  23.9      1484      4       739      1
  26.9       656      3        99      0
  19.6       870      3      2699      0
  24.3       718      4      1045      0
  24.9      1096      2       440      0
  24.5      1095      1       991      0
  23.1       749      4      1783      0
  23.4       959      2      1298      0
  24.9      1265      1       786      0
  23.1      1029      2      1468      0
  24.8      1547      2       499      0
  26.3       602      2       154      0
  27.0       756      1       523      0
  23.4       667      1      1684      0
  23.2      2006      1       475      0
  22.4      1170      2      1285      0
  22.2      2267      3       689      0
  21.9      1314      1      1629      0
  23.4       967      2       855      0
  26.6       689      1       743      0
  26.3      1292      1        56      0
  21.8      1987      4       746      0
  21.9      1179      3      1516      0
  26.0       561      4       834      0
  25.1      1597      1       180      0
  21.8       935      1      1238      1
  24.8      1021      3       638      0
  17.0       627      3      3356      0
  25.3       993      2       539      0
  21.7       512      3      1200      1
  26.1       528      4       965      0
  26.0       828      4       776      0
  27.1      1151      3       112      0
  24.5       913      3       789      1
  22.7      1210      1      1552      0
  23.6       883      3      1594      0
  20.4       379      3      2600      0
  24.5      1194      1       784      0
  25.2      1301      2       614      0
  23.1      1618      3       845      0
  26.4       647      4       305      0
  25.9      1584      4        39      0
  21.3      1271      2      1962      0
  24.2       685      3      1588      0
  23.9       829      4      1410      0
