   age      spacing  sibs    time   status
  21.9       424      4      1826      1
  22.8       570      4      1502      0
  22.1      1002      4      1988      1
  21.2       797      4       652      1
  24.7      1723      3        99      0
  26.3       608      2       808      0
  26.0       726      1       930      0
  19.3      1688      1      1671      0
  25.0      1133      2       530      0
  27.7       777      1       253      0
  22.4       820      1      1267      1
  24.1      1320      2       938      0
  26.8       873      4       284      0
  23.8      1042      1      1175      0
  25.1       780      1       356      0
  22.7      2508      1        99      0
  24.2       393      3      1646      0
  20.9       978      4      1574      0
  22.4      1001      3       370      0
  20.8      1124      1      2334      0
  26.6      1275      3       140      0
  20.6       646      2      1475      1
  21.8      2147      2       919      0
  21.1      1017      3       667      0
  28.1       636      1       133      0
  18.9      2194      4       851      0
  27.7       493      4        34      0
  28.2       483      3        41      0
  20.0       938      4      2655      0
  26.4       778      2       616      0
  22.5       668      4       514      1
  25.6       701      2      1103      0
  24.1      1596      3       385      0
  23.9      1130      2       324      0
  26.4      1242      4        13      0
  24.2       530      3      1606      0
  20.7       411      1      2399      0
  22.4      1277      2      1707      0
  23.4       918      3      1293      0
  27.7       702      3        36      0
  23.8       584      1       850      0
  25.8       601      4       128      0
  20.3      1042      4      2470      0
  22.1       832      2      1952      0
  21.0      2154      2      1323      0
  24.8      1160      3       856      0
  25.6      1048      4       424      0
  26.4      1173      4       248      0
  26.2      1367      2        24      0
  19.3      1047      2      2552      1
  20.6       838      1      1117      1
  18.6      2392      3      1661      1
  22.4      1396      3      1256      0
  24.3      1139      4      1064      0
  23.4      1285      4       836      0
  22.2      1020      3      1511      0
  20.1      1026      1       714      1
  23.2      1015      1      1115      0
  20.8       611      1      2124      1
  24.8      1494      3         7      0
  26.9      1089      3       134      0
  24.4      1538      4       637      0
  18.7       441      1      1100      1
  24.9      1300      3       191      0
  20.5      1941      1      1722      0
  25.5       841      4       819      0
  22.9      1465      1       943      0
  27.0       971      4       236      0
  25.0       785      4      1183      0
  22.8       644      3      1172      0
  23.3      1279      1      1150      1
  21.5       551      4      2710      0
  21.0       803      2      1550      0
  23.2      1508      1      1188      0
  23.6      1466      1       620      0
  25.2      1008      3       854      0
  25.9       780      3       850      0
  23.7      1131      2       850      0
  23.9       711      4      1642      0
  25.9       590      2      1071      0
  22.6      1071      2      1760      0
  24.2      1630      3       604      0
  25.2       945      4       420      0
  23.3      1184      4       686      0
  26.5      1249      4       228      0
  22.8      1305      1       738      0
  22.8       754      1      1157      0
  21.7      1383      2      1598      0
  26.6       978      1       311      0
  24.7       765      4      1214      0
  24.7       631      2       874      1
  24.1      1177      3      1149      0
  27.1       526      1       501      0
  23.3       651      1      1361      0
  24.2      1245      4      1072      0
  23.6      1444      2       454      0
  25.2      1076      4       634      0
  24.6       597      4      1160      0
  23.6      1329      4      1122      0
  27.2       705      2       494      0
  23.2       771      1       845      1
  22.1       917      4      2136      0
  21.0      1548      1      1530      0
  21.9       764      1      1848      1
  26.2       458      3       163      0
  22.8      1018      4      1299      0
  21.1      1130      3       539      0
  22.9      2192      4       176      0
  23.9      1456      2       337      0
  24.3      1348      4       236      0
  25.1      1573      1       287      0
  25.0       986      3       282      0
  19.1      1206      4      2861      0
  26.0      1142      3       454      0
  27.2       722      1       311      0
  21.0       880      2      2220      0
  21.3       839      1      1956      0
  25.0      1171      1       248      0
  21.8      1707      1      1094      0
  27.7       583      1       148      0
  21.7       911      3      2040      0
  25.2       754      4       784      1
  23.4      1913      1       188      0
  23.2      1596      1       533      0
  20.6      1507      3       889      1
  20.5      1455      4      1752      0
  23.3      1191      3       193      0
  22.6      1792      2      1142      0
  24.2      1174      3      1006      0
  24.0       415      1      1369      1
  24.4       768      4      1109      1
  26.6      1100      2       296      0
  26.1       827      2       689      0
  24.5      1134      1       403      0
  18.2      3078      3      1123      0
  24.6      1358      3       678      0
  27.1      1148      1        41      0
  22.5      1519      2       946      0
  26.1       762      1       175      0
  25.5      1203      1       648      0
  26.0      1013      3       634      0
  25.2      1530      2       147      0
  24.4      1005      1      1208      0
  20.1      2206      1       426      0
  26.6       967      4       421      0
  26.0      1066      3       482      0
  23.4      1292      2       581      0
  18.6      1831      1      1730      0
  25.8       889      4       677      0
  24.8      1213      3       511      0
  22.2       784      3      1376      0
  24.1       589      4       771      0
  26.5       605      1       377      0
  22.6       331      3      2509      0
  26.7       518      3       737      0
  22.1       505      4      1049      0
  24.0       879      1      1033      0
  17.8      1200      4      2230      0
  23.5      1478      4       386      1
  21.4       874      1      2138      0
  23.2       751      3       719      1
  24.1      1029      3      1175      0
  25.5      1303      3       342      0
  20.4       992      2      2126      1
  21.8      1395      4      1646      0
  22.4      1166      2       832      0
  25.5      1733      4        71      0
  22.4      1719      3       932      0
  24.8      1128      3       854      0
  25.3       804      4      1084      0
  19.2       322      3      2680      0
  27.0       922      4       254      0
  24.9      1419      1       147      0
  23.5      1076      1       240      0
  24.1      1382      4       670      0
  24.7      1208      1       630      0
  21.9       736      3      2138      0
  25.7       859      2       208      0
  20.2       943      1      2350      0
  25.6      1128      3        12      0
  24.4       897      4       539      0
  23.1      1828      4       387      0
  24.9      1059      3       491      0
  23.3      1200      2       757      0
  26.5      1042      1        92      0
  21.9       669      1      1161      1
  26.4      1139      2       370      0
  24.8       854      2       530      0
  19.6       707      4      2719      0
  22.1       605      3      1289      1
  24.2      1006      4       876      0
  24.1       919      4      1295      0
  21.1      2035      3       611      0
  23.6      1400      2       245      0
  27.1      1014      1       110      0
  25.7      1222      3       437      0
  24.7       956      4       883      0
  22.7      1164      3      1537      0
  26.7       897      1       256      0
  24.0      1407      3       885      0
  26.1      1255      1        43      0
  26.9       740      1       365      0
  25.8      1270      4       339      0
  21.5      1634      1      1670      0
  26.6       507      1       731      0
  25.1      1839      2        52      0
  20.3      1641      3      1757      0
  26.0      1322      4       216      0
  21.4      1684      2        85      0
  22.4      1493      4      1209      0
  19.9       740      1      2533      0
  25.1       908      1       656      0
  24.4      1384      3       814      0
  24.6       864      3       746      0
  24.1      2009      4       112      0
  28.0       615      1       186      0
  19.8       960      4      2087      1
  23.3      1086      1       549      0
  23.0       881      3       550      1
